Date,Open,High,Low,Close,Volume
09/30/2025,"243.06","243.68","239.57","243.55","22,541,189"
09/29/2025,"248.28","251.65","243.20","244.36","23,157,250"
09/26/2025,"247.79","250.12","246.64","247.18","16,594,609"
09/25/2025,"244.84","247.32","241.65","246.57","17,379,789"
09/24/2025,"252.15","252.96","247.22","247.83","16,958,510"
09/23/2025,"253.66","254.77","251.09","252.34","17,521,090"
09/22/2025,"254.78","256.31","250.81","252.88","20,078,980"
09/19/2025,"253.40","256.70","252.07","255.24","41,616,840"
09/18/2025,"251.86","254.14","250.11","252.33","21,166,359"
09/17/2025,"251.46","251.95","246.58","249.85","20,491,320"
09/16/2025,"252.33","253.23","249.72","251.42","24,493,510"
09/15/2025,"245.14","252.75","244.98","251.76","29,935,150"
09/12/2025,"240.80","242.42","238.50","241.38","14,536,590"
09/11/2025,"240.14","242.57","236.58","240.78","21,308,609"
09/10/2025,"239.25","242.08","238.11","239.56","19,990,141"
09/09/2025,"234.19","240.59","233.38","239.94","22,854,789"
09/08/2025,"235.79","238.40","233.73","234.16","23,128,801"
09/05/2025,"232.66","236.13","232.38","235.17","26,127,740"
09/04/2025,"230.16","232.77","226.76","232.66","32,196,010"
09/03/2025,"226.48","231.80","225.12","231.10","72,250,273"
09/02/2025,"208.99","212.37","206.96","211.99","28,900,070"
08/29/2025,"211.27","215.34","210.97","213.53","24,682,221"
08/28/2025,"207.84","212.90","207.60","212.37","20,915,711"
08/27/2025,"206.46","209.57","206.39","208.21","15,248,980"
08/26/2025,"208.37","208.46","206.45","207.95","23,050,971"
08/25/2025,"207.00","211.09","205.95","209.16","22,788,811"
08/22/2025,"203.96","209.23","202.13","206.72","25,723,730"
08/21/2025,"200.72","203.36","200.40","200.62","11,768,910"
08/20/2025,"201.68","202.17","197.46","200.19","13,971,690"
08/19/2025,"203.91","204.29","200.93","202.49","13,476,580"
08/18/2025,"205.07","206.14","203.41","204.29","13,000,160"
08/15/2025,"204.72","207.33","202.09","204.91","21,111,381"
08/14/2025,"202.56","205.42","202.32","203.82","17,777,150"
08/13/2025,"204.98","205.43","198.64","203.03","19,573,039"
08/12/2025,"202.10","205.13","201.40","204.16","19,872,000"
08/11/2025,"201.56","202.16","199.80","201.63","16,690,240"
08/08/2025,"197.98","203.43","197.90","202.09","24,379,910"
08/07/2025,"197.71","198.37","195.22","197.28","14,660,550"
08/06/2025,"195.25","197.38","194.47","196.92","15,383,680"
08/05/2025,"195.55","198.70","194.68","195.32","19,010,150"
08/04/2025,"191.18","196.08","190.92","195.75","23,385,949"
08/01/2025,"189.78","191.62","188.70","189.95","21,236,711"
07/31/2025,"196.60","196.83","192.08","192.86","27,852,020"
07/30/2025,"196.30","198.48","195.56","197.44","21,150,520"
07/29/2025,"193.30","196.66","192.99","196.43","31,891,600"
07/28/2025,"194.41","194.82","191.86","193.42","25,553,551"
07/25/2025,"192.93","195.28","192.13","194.08","31,101,850"
07/24/2025,"198.11","198.97","191.95","193.20","45,252,059"
07/23/2025,"192.36","193.36","190.18","191.51","34,068,129"
07/22/2025,"192.42","193.36","188.50","192.11","26,212,910"
07/21/2025,"187.10","191.26","187.05","191.15","24,664,990"
07/18/2025,"186.62","187.36","184.73","185.94","21,033,400"
07/17/2025,"183.12","185.19","181.50","184.70","21,654,369"
07/16/2025,"184.32","185.34","183.08","183.77","21,152,561"
07/15/2025,"183.94","185.41","182.39","183.10","23,911,570"
07/14/2025,"182.07","184.73","180.71","182.81","20,990,350"
07/11/2025,"177.91","182.61","177.54","181.31","23,975,711"
07/10/2025,"176.67","179.59","175.74","178.70","24,693,711"
07/09/2025,"176.11","180.28","173.88","177.66","31,288,039"
07/08/2025,"178.78","178.79","173.92","175.16","24,108,641"
07/07/2025,"180.14","180.34","176.64","177.56","20,991,359"
07/03/2025,"179.82","180.77","178.19","180.55","13,287,390"
07/02/2025,"176.55","179.94","176.09","179.76","19,325,859"
07/01/2025,"176.81","177.22","174.66","176.91","25,778,461"
06/30/2025,"180.79","181.58","175.50","177.39","43,964,602"
06/27/2025,"174.63","178.84","172.71","178.27","74,053,109"
06/26/2025,"173.39","174.65","170.86","174.43","25,909,119"
06/25/2025,"168.65","173.36","168.56","171.49","23,627,359"
06/24/2025,"167.69","169.25","166.91","167.74","27,310,270"
06/23/2025,"167.32","168.48","163.33","166.01","36,975,594"
06/20/2025,"174.87","175.37","166.27","167.73","55,402,578"
06/18/2025,"177.28","177.82","172.84","173.98","32,531,760"
06/17/2025,"177.00","178.72","175.94","177.23","17,656,119"
06/16/2025,"175.91","178.25","175.82","177.94","18,132,529"
06/13/2025,"173.58","178.34","173.57","175.88","20,873,240"
06/12/2025,"177.48","178.13","176.11","176.97","17,345,920"
06/11/2025,"181.23","181.75","178.00","178.79","18,994,400"
06/10/2025,"177.76","182.45","176.48","180.01","32,908,000"
06/09/2025,"175.87","177.92","175.66","177.63","18,817,590"
06/06/2025,"172.30","175.83","172.30","174.92","22,258,119"
06/05/2025,"171.62","172.36","169.35","169.81","25,422,881"
06/04/2025,"168.28","169.58","167.80","169.39","18,508,740"
06/03/2025,"168.87","169.80","166.68","167.71","25,386,711"
06/02/2025,"169.01","171.06","168.65","170.37","24,742,881"
05/30/2025,"172.41","173.44","168.53","172.85","36,258,246"
05/29/2025,"175.00","175.40","171.78","172.96","21,233,590"
05/28/2025,"173.98","176.48","173.01","173.38","25,999,230"
05/27/2025,"171.30","174.29","171.21","173.98","24,341,330"
05/23/2025,"170.28","171.21","169.26","169.59","24,963,650"
05/22/2025,"173.35","178.13","171.88","171.98","45,024,078"
05/21/2025,"164.95","174.53","164.89","170.06","45,567,578"
05/20/2025,"167.76","169.68","164.26","165.32","33,563,273"
05/19/2025,"165.72","167.95","165.42","167.87","21,374,689"
05/16/2025,"168.93","170.65","166.95","167.43","36,271,379"
05/15/2025,"167.14","167.51","163.84","165.40","22,717,551"
05/14/2025,"161.31","168.34","160.93","166.81","31,769,211"
05/13/2025,"159.92","162.06","157.58","160.89","24,944,270"
05/12/2025,"159.10","160.44","157.89","159.58","31,884,900"
05/09/2025,"155.55","156.43","153.83","154.38","22,871,039"
05/08/2025,"155.92","157.41","154.10","155.75","38,387,512"
